text,label
Win money now!!!,spam
Congratulations you won a lottery,spam
Free recharge available claim now,spam
Limited offer hurry up!!!,spam
Click here to win cash reward,spam
Get free coupons today,spam
Earn money fast online,spam
You have been selected for prize,spam
Urgent: claim your reward now,spam
Exclusive deal just for you,spam
Free gift card waiting,spam
Winner!! click to claim,spam
Act fast limited stock offer,spam
Get loan approved instantly,spam
Cheap meds available now,spam
You are lucky winner today,spam
Win iphone now click here,spam
Special discount just for u,spam
Grab offer before it ends,spam
Free entry in contest,spam
Hello how are you?,ham
Let's meet tomorrow,ham
Are you coming to class?,ham
Call me when free,ham
Good morning have a nice day,ham
See you soon,ham
Can we talk later?,ham
What are you doing?,ham
Did you complete assignment?,ham
Let's go for lunch,ham
Where are you now?,ham
Happy birthday bro!,ham
All the best for exam,ham
Thanks for helping me,ham
Let's study together,ham
Meeting at 5 pm,ham
Don't forget the notes,ham
Are you okay?,ham
Call me asap,ham
I'll reach by evening,ham
Win $$$ now!!! limited time,spam
Fr33 recharge waiting,spam
Cl1ck here for reward,spam
Get $$$ instantly now,spam
Offer expiring soon hurry,spam
Cheap loan approved fast,spam
Claim ur prize now!!!,spam
Winner selected click now,spam
Free trip available now,spam
Hot deal only today!!!,spam
Earn ₹₹ quickly now,spam
100% free recharge,spam
Lottery winner claim fast,spam
Click link for reward,spam
Get rich quick scheme,spam
Urgent action required claim,spam
Prize waiting click link,spam
Free cashback offer now,spam
Limited deal act fast,spam
Discount just for u hurry,spam
Bro where are you?,ham
Let's go movie tonight,ham
Have you eaten?,ham
Come to hostel,ham
Assignment submission today,ham
Meet me at canteen,ham
Call me later bro,ham
Where is teacher?,ham
Let's play cricket,ham
Did you sleep?,ham
Come fast I'm waiting,ham
Bring notebook tomorrow,ham
Class cancelled today,ham
Notes send please,ham
Check this message,ham
Lunch together?,ham
Going home today,ham
Be ready at 6,ham
Tell me the answer,ham
What happened?,ham
Win cash prize now!!!,spam
Free entry win big,spam
Claim bonus instantly,spam
Earn online no work,spam
Special reward for u,spam
Click & win now,spam
Free voucher claim now,spam
Act now get benefit,spam
Limited time free gift,spam
Hurry offer ending soon,spam
Prize claim immediately,spam
Get free tickets now,spam
Exclusive offer click now,spam
Instant money transfer offer,spam
Lucky draw winner claim,spam
Congratulations claim prize,spam
You won reward click,spam
Fast cash opportunity,spam
Get reward instantly,spam
Click for free reward,spam
Hey bro wassup?,ham
Let's chill today,ham
Are you busy?,ham
Call me after class,ham
Where is lab?,ham
Submit project soon,ham
Meet teacher tomorrow,ham
Bring charger,ham
Exam postponed,ham
Let's revise syllabus,ham
Come library,ham
Wake up bro,ham
Check email,ham
Attend lecture,ham
Going gym?,ham
Dinner tonight?,ham
Reach early,ham
Study plan done?,ham
Need help?,ham
Let's go out,ham
Fr33 $$$ waiting claim now,spam
Click fast win prize,spam
Urgent free reward,spam
Cash bonus limited offer,spam
Win big $$$ now,spam
Free recharge now claim,spam
Act fast win iphone,spam
Reward unlocked click now,spam
Lottery claim urgent,spam
Earn money instantly,spam
Cheap product buy now,spam
Exclusive deal hurry up,spam
Free access limited time,spam
Prize alert click link,spam
Claim free bonus now,spam
You selected claim now,spam
Offer just for you,spam
Win reward today,spam
Fast reward click here,spam
Limited bonus claim now,spam
Are you coming?,ham
Let's meet today,ham
Call me soon,ham
Where r u?,ham
Study together?,ham
Bring book,ham
Exam tomorrow,ham
Wake me up,ham
Come fast,ham
Check notes,ham
Submit file,ham
Meet at gate,ham
Lunch break now,ham
Going out?,ham
Ready?,ham
Tell quickly,ham
Need notes,ham
Where to meet?,ham
Coming?,ham
Let's go,ham
